"postcode","ls_tag"
"LS1 2PP",1
"LS1  2PP",1
"LS1 2PQ",1
"LS1  2PQ",1
"LS1 2PR",1
"LS1  2PR",1
"LS1 2PS",1
"LS1  2PS",1
"LS1 2PT",1
"LS1  2PT",1
"LS1 2PU",1
"LS1  2PU",1
"LS1 2PW",1
"LS1  2PW",1
"LS1 2PX",1
"LS1  2PX",1
"LS1 2PY",1
"LS1  2PY",1
"LS1 2PZ",1
"LS1  2PZ",1
"LS1 2QA",1
"LS1  2QA",1
"LS1 2QB",1
"LS1  2QB",1
"LS1 2QD",1
"LS1  2QD",1
"LS1 2QE",1
"LS1  2QE",1
"LS1 2QG",1
"LS1  2QG",1
"LS1 2QH",1
"LS1  2QH",1
"LS1 2QJ",1
"LS1  2QJ",1
"LS1 2QL",1
"LS1  2QL",1
"LS1 2QN",1
"LS1  2QN",1
"LS1 2QP",1
"LS1  2QP",1
"LS1 2QQ",1
"LS1  2QQ",1
"LS1 2QR",1
"LS1  2QR",1
"LS1 2QS",1
"LS1  2QS",1
"LS1 2QU",1
"LS1  2QU",1
"LS1 2QW",1
"LS1  2QW",1
"LS1 2QX",1
"LS1  2QX",1
"LS1 2QY",1
"LS1  2QY",1
"LS1 2QZ",1
"LS1  2QZ",1
"LS1 2RA",1
"LS1  2RA",1
"LS1 2RB",1
"LS1  2RB",1
"LS1 2RD",1
"LS1  2RD",1
"LS1 2RE",1
"LS1  2RE",1
"LS1 2RF",1
